epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,163.11,0.77697,0.48584,1.03631,0.98127,0.98898,0.97874,0.7868,0.79147,0.37305,0.97414,0.00091882,0.00091882,0.00091882
43,166.688,0.7249,0.4613,1.01508,0.98051,0.98642,0.98011,0.77983,0.81462,0.37658,0.98615,0.00091684,0.00091684,0.00091684
44,170.46,0.74954,0.45727,1.02975,0.98437,0.98837,0.98387,0.80058,0.7375,0.36115,0.96406,0.00091486,0.00091486,0.00091486
45,174.225,0.73737,0.45751,1.02248,0.98266,0.98987,0.98326,0.74902,0.93293,0.38553,1.04422,0.00091288,0.00091288,0.00091288
46,178.177,0.72824,0.45148,1.00986,0.97921,0.98838,0.98295,0.7716,0.86973,0.37797,1.01708,0.0009109,0.0009109,0.0009109
47,182.178,0.73095,0.45031,1.01343,0.9838,0.98268,0.98233,0.79343,0.78094,0.3729,0.9785,0.00090892,0.00090892,0.00090892
48,186.007,0.73731,0.458,1.02604,0.98021,0.98712,0.98124,0.77074,0.85536,0.38029,1.00672,0.00090694,0.00090694,0.00090694
49,189.908,0.7385,0.45461,1.02285,0.97739,0.98651,0.98208,0.8084,0.72591,0.36506,0.95793,0.00090496,0.00090496,0.00090496
50,193.617,0.72012,0.4422,1.00886,0.98185,0.98644,0.98543,0.81544,0.72531,0.34855,0.96229,0.00090298,0.00090298,0.00090298
51,197.239,0.72729,0.43329,1.01194,0.982,0.98845,0.98384,0.81659,0.71207,0.34888,0.95682,0.000901,0.000901,0.000901
52,200.937,0.72249,0.45649,1.01461,0.97967,0.98791,0.98187,0.78937,0.78878,0.36733,0.98479,0.00089902,0.00089902,0.00089902
53,204.896,0.73269,0.43916,1.01085,0.97983,0.98509,0.98312,0.77689,0.83857,0.37916,1.01376,0.00089704,0.00089704,0.00089704
54,208.688,0.72848,0.45323,1.01318,0.98329,0.99014,0.98394,0.79631,0.79059,0.35793,0.98079,0.00089506,0.00089506,0.00089506
55,212.508,0.71313,0.43988,1.00783,0.98421,0.98954,0.9821,0.80483,0.76493,0.3592,0.97553,0.00089308,0.00089308,0.00089308
56,216.607,0.71361,0.44012,1.00217,0.98208,0.9847,0.98101,0.81014,0.71002,0.35598,0.95178,0.0008911,0.0008911,0.0008911
57,220.411,0.71899,0.44172,1.01068,0.98183,0.98939,0.98304,0.79507,0.77652,0.36702,0.97339,0.00088912,0.00088912,0.00088912
58,224.216,0.72737,0.44233,1.01557,0.97819,0.98422,0.97988,0.79832,0.7513,0.36374,0.96642,0.00088714,0.00088714,0.00088714
59,228.062,0.71014,0.43775,1.00485,0.98161,0.98615,0.97926,0.80913,0.72298,0.35162,0.9556,0.00088516,0.00088516,0.00088516
60,232.065,0.69961,0.4211,1.0019,0.98382,0.98516,0.98104,0.80413,0.74791,0.34937,0.9688,0.00088318,0.00088318,0.00088318
61,235.816,0.70554,0.43515,1.00926,0.97933,0.97497,0.98269,0.80865,0.71513,0.36187,0.95447,0.0008812,0.0008812,0.0008812
62,239.767,0.72404,0.44266,1.01556,0.97968,0.98151,0.98559,0.81696,0.70258,0.35298,0.9467,0.00087922,0.00087922,0.00087922
63,243.71,0.72482,0.43776,1.01314,0.97611,0.98574,0.98449,0.80941,0.72741,0.35915,0.95368,0.00087724,0.00087724,0.00087724
64,247.733,0.69941,0.44067,1.00151,0.98033,0.98984,0.98304,0.80492,0.74417,0.35213,0.96306,0.00087526,0.00087526,0.00087526
65,251.621,0.70656,0.41536,1.00321,0.98024,0.98964,0.98013,0.80276,0.75513,0.35591,0.96823,0.00087328,0.00087328,0.00087328
66,255.387,0.70349,0.42463,1.00968,0.98201,0.98969,0.98143,0.80692,0.73578,0.34862,0.96457,0.0008713,0.0008713,0.0008713
67,259.158,0.70736,0.42533,1.0073,0.97706,0.98544,0.98187,0.81071,0.73798,0.34745,0.96354,0.00086932,0.00086932,0.00086932
